symbol,name,price,price_change,volume,market_cap,total_value,percentage_change,chart_link
tcm,CTCP Dệt may - Đầu tư - Thương mại Thành Công,41.35,0.25,"1,713,700","2,014,504","101,855,032","4,182",https://www.cophieu68.vn/chart/chart.php?id=tcm
ptb,CTCP Phú Tài,60.60,-0.40,"93,300","244,347","70,578,663","4,083",https://www.cophieu68.vn/chart/chart.php?id=ptb
msh,CTCP May Sông Hồng,57.20,3.70,"909,500","194,930","75,014,100","4,013",https://www.cophieu68.vn/chart/chart.php?id=msh
dxs,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,6.74,0.10,"1,199,900","1,823,529","579,103,124","3,845",https://www.cophieu68.vn/chart/chart.php?id=dxs
stg,CTCP Kho vận Miền Nam,38.55,0,0,323,"98,253,357","3,788",https://www.cophieu68.vn/chart/chart.php?id=stg
dpr,CTCP Cao su Đồng Phú,43.75,0.40,"1,055,300","572,024","86,885,932","3,767",https://www.cophieu68.vn/chart/chart.php?id=dpr
ppc,CTCP Nhiệt điện Phả Lại,11.75,-0.05,"733,200","413,467","326,235,000","3,754",https://www.cophieu68.vn/chart/chart.php?id=ppc
hdc,CTCP Phát triển Nhà Bà Rịa - Vũng Tàu,24.10,0.05,"1,214,800","2,399,394","178,354,966","3,730",https://www.cophieu68.vn/chart/chart.php?id=hdc
imp,CTCP Dược phẩm Imexpharm,48.10,0.20,"300,000","106,351","154,046,775","3,690",https://www.cophieu68.vn/chart/chart.php?id=imp
agr,CTCP Chứng khoán Agribank,16.80,0.20,"676,900","1,429,284","215,391,309","3,575",https://www.cophieu68.vn/chart/chart.php?id=agr
shp,CTCP Thủy điện Miền Nam,35.65,0.35,"11,200","8,732","101,206,352","3,573",https://www.cophieu68.vn/chart/chart.php?id=shp
nkg,CTCP Thép Nam Kim,13.70,0.20,"4,977,700","5,735,474","447,572,270","3,554",https://www.cophieu68.vn/chart/chart.php?id=nkg
drc,CTCP Cao su Đà Nẵng,28.40,0.10,"857,300","949,721","118,792,605","3,362",https://www.cophieu68.vn/chart/chart.php?id=drc
qcg,CTCP Quốc Cường Gia Lai,12.25,0.05,"625,100","977,544","275,129,310","3,357",https://www.cophieu68.vn/chart/chart.php?id=qcg
sgn,CTCP Phục vụ Mặt đất Sài Gòn,100.90,2,"63,800","22,987","33,581,691","3,321",https://www.cophieu68.vn/chart/chart.php?id=sgn
aaa,CTCP Nhựa An Phát Xanh,8.68,0.08,"1,803,000","3,589,366","382,274,496","3,288",https://www.cophieu68.vn/chart/chart.php?id=aaa
dvp,CTCP Đầu tư và Phát triển Cảng Đình Vũ,82,0.70,"16,500","11,669","40,000,000","3,252",https://www.cophieu68.vn/chart/chart.php?id=dvp
cre,CTCP Bất động sản Thế Kỷ,7.03,0.08,"60,800","271,450","463,678,534","3,223",https://www.cophieu68.vn/chart/chart.php?id=cre
tra,CTCP Traphaco,76.80,-0.10,"4,400","2,204","41,450,983","3,187",https://www.cophieu68.vn/chart/chart.php?id=tra
